word,frequency,level
Gleichviel,8,B1
knien,8,B1
aufsetzen,8,B1
ausruhen,8,B1
vermengen,8,B1
lasten,8,B1
verharren,8,B1
malen,8,B1
stärken,8,B1
erbaut,8,B1
verziehen,8,B1
lässn,8,B1
waschen,8,B1
bestatten,8,B1
erschaffen,8,B1
loswerden,8,B1
daten,8,B1
ermorden,8,B1
durchgehen,8,B1
anklagen,8,B1
überstehen,8,B1
auftauchen,8,B1
überrumpeln,7,B1
fertigen,7,B1
Redest,7,B1
verdammen,7,B1
auferlegen,7,B1
verweisen,7,B1
verwunderten,7,B1
herauskommen,7,B1
liessen,7,B1
mußen,7,B1
veranstalten,7,B1
einholen,7,B1
to,7,B1
dastehen,7,B1
vollbringen,7,B1
sintemal,7,B1
zusammenkommen,7,B1
beladen,7,B1
theren,7,B1
sterbe,7,B1
aufziehen,7,B1
beruhigen,7,B1
einschlagen,7,B1
füttern,7,B1
hinziehen,7,B1
verstoßen,7,B1
einfallen,7,B1
entnehmen,7,B1
aufschlagen,7,B1
einigermassen,7,B1
backen,7,B1
antragen,7,B2
schlachten,7,B2
befragen,7,B2
heften,7,B2
währen,7,B2
aneignen,7,B2
nachsehen,7,B2
hiessen,7,B2
festsetzen,7,B2
entkommen,7,B2
erhellen,7,B2
müssen,7,B2
mitbringen,7,B2
fünfhunderen,7,B2
zweihunderen,7,B2
einschenken,7,B2
verbrauchen,7,B2
dingen,7,B2
hinrichen,7,B2
vermähln,7,B2
seyn,7,B2
vorschlagen,7,B2
hinweisen,7,B2
seind,7,B2
ebook,7,B2
prügeln,7,B2
gerissen,7,B2
auftragen,7,B2
Machen,7,B2
blasen,7,B2
einsperren,7,B2
hauen,7,B2
umdrehen,7,B2
zusprechen,7,B2
erproben,7,B2
sträuben,7,B2
vortragen,7,B2
berücksichtigen,7,B2
bannen,7,B2
wähnen,7,B2
verwanden,7,B2
besessen,7,B2
überfiel,7,B2
ahnen,7,B2
zerren,7,B2
müsste,7,B2
verwehren,7,B2
schonen,7,B2
hegen,7,B2
verschworen,7,B2
plünderen,7,B2
nimmst,7,B2
derselben,7,B2
verbringen,7,B2
heilen,7,B2
dasselbe,7,B2
klettern,7,B2
feststellen,7,B2
entschlossen,7,B2
aufsuchen,7,B2
kleben,7,B2
resolvieren,7,B2
bewohnen,7,B2
unterschreiben,7,B2
anreden,7,B2
aushalten,7,B2
ansetzen,7,B2
hingehen,7,B2
lohnen,7,B2
mittheilen,7,B2
ermahnen,7,B2
erliegen,7,B2
zuschlagen,7,B2
vertreten,7,B2
kannen,7,B2
