word,frequency,level
tausendfältig,3,C1
spanisch,3,C1
reflektorisch,3,C1
herrlichst,3,C1
aufgesetzt,3,C1
optisch,3,C1
sandte,2,C1
kupfern,2,C1
anmuthig,2,C1
grossstädtisch,2,C1
außerordentlich,2,C1
störend,2,C1
wohlklingend,2,C1
ausnahmsweis,2,C1
unchristlich,2,C1
andre,2,C1
erlaucht,2,C1
eingerichtet,2,C1
97.,2,C1
bessern,2,C1
allerliebster,2,C1
wiegend,2,C1
pferdehaaren,2,C1
glänzendst,2,C1
bevorstehend,2,C1
unbescholten,2,C1
zugerichtet,2,C1
verkehrt,2,C1
Berliner,2,C1
ethisch,2,C1
donnernd,2,C1
516.,2,C1
unzertrennlich,2,C1
prachtvoll,2,C1
leichtfertig,2,C1
Liebster,2,C1
bebend,2,C1
fakultativ,2,C1
Holländischen,2,C1
