word,frequency,level
Tausend,18,A2
Mark,18,A2
Würde,18,A2
Bezug,18,A2
Gehör,18,A2
Gegner,18,A2
Geschrei,18,A2
Meister,18,A2
Nicht,18,A2
Laster,18,A2
Rest,18,A2
Rauch,18,A2
Anzug,18,A2
Essen,18,A2
Leiter,18,A2
Fluss,18,A2
Jagd,18,A2
Obrist-Leutenant,18,A2
Wurzel,18,A2
Laute,18,A2
Mitglied,18,A2
Widerstand,18,A2
Versammlung,18,A2
Bedenken,18,A2
Vortrab,18,A2
schreiben,18,A2
Harem,18,A2
Flucht,18,A2
Spaltung,18,A2
Vorlesung,18,A2
Stock,18,A2
Becher,18,A2
Finanz,18,A2
Widerspruch,18,A2
Schmied,18,A2
Hemd,18,A2
Kugel,18,A2
Bahn,18,A2
Entfernung,18,A2
Tal,18,A2
Zügel,18,A2
August,17,A2
Kanapee,17,A2
Dr.,17,A2
Ratsherr,17,A2
Aug,17,A2
Besatzung,17,A2
Forscher,17,A2
Anderer,17,A2
Abreise,17,A2
Generation,17,A2
Bedürfniss,17,A2
Gefolge,17,A2
Glanz,17,A2
Gemahl,17,A2
Bier,17,A2
Alinak,17,A2
have,17,A2
Glauben,17,A2
Frucht,17,A2
Dschuschkab,17,A2
Wüste,17,A2
Vortrag,17,A2
Hochzeit,17,A2
Sensitivität,17,A2
Schwanz,17,A2
Verdienst,17,A2
Trost,17,A2
Brüdern,17,A2
Stellvertreter,17,A2
Lippe,17,A2
Flamme,17,A2
erster,17,A2
Kolleg,17,A2
Brand,17,A2
Deg,17,A2
Grafe,17,A2
Aufruhr,17,A2
Mut,17,A2
Manier,17,A2
Faust,17,A2
Gedächtnis,17,A2
Begierd,17,A2
Eitelkeit,17,A2
Dschem,17,A2
Sehnsucht,16,A2
Pistole,16,A2
Aegypter,16,A2
Spring-ins-Feld,16,A2
Ursprung,16,A2
Merkit,16,A2
Dragoner,16,A2
Löwe,16,A2
Seligkeit,16,A2
Kultur,16,A2
Thüre,16,A2
Glocke,16,A2
Aegypten,16,A2
Gehalt,16,A2
1.E.9.,16,A2
Lateinisch,16,A2
Butter,16,A2
Wunde,16,A2
OF,16,A2
Verheirathung,16,A2
Zuflucht,16,A2
Rand,16,A2
Realgymnasium,16,A2
Bibliothek,16,A2
Bekanntschaft,16,A2
Esel,16,A2
Refund,16,A2
Gegensatz,16,A2
Kloster,16,A2
tun,16,A2
Jurt,16,A2
Triumph,16,A2
Hippia,16,A2
Kasten,16,A2
Gewinn,16,A2
Strasse,16,A2
Docent,16,A2
Schelm,16,A2
Febr,16,A2
Tat,16,A2
Reiche,16,A2
Disclaimer,16,A2
Vermehrung,16,A2
Laufbahn,16,A2
Stiefel,16,A2
FULL,16,A2
Jelwadsch,16,A2
Arran,16,A2
1.E.8,16,A2
Zimmerherr,16,A2
Beutel,16,A2
Mantel,16,A2
He,16,A2
Explanation,16,A2
Posten,16,A2
Verleger,16,A2
Wachen,16,A2
Studium,16,A2
Musket,16,A2
Nebenbuhler,16,A2
Begebenheite,15,A2
Abisch,15,A2
Glied,15,A2
Sept.,15,A2
Distrikt,15,A2
Kenntniss,15,A2
Hütte,15,A2
Segen,15,A2
Getränk,15,A2
Thatsache,15,A2
Erholung,15,A2
Wesire,15,A2
Examinator,15,A2
Begebenheit,15,A2
Gesandtschaft,15,A2
Winkel,15,A2
Elend,15,A2
Viertel,15,A2
Uirat,15,A2
Kreatur,15,A2
Korb,15,A2
Volke,15,A2
Gasse,15,A2
Ruin,15,A2
Muth,15,A2
Idee,15,A2
Gruppe,15,A2
Brei,15,A2
They,15,A2
Amund,15,A2
Leitung,15,A2
verhalten,15,A2
Olivier,15,A2
Möbel,15,A2
Periode,15,A2
Stoß,15,A2
Frühling,15,A2
Gehirn,15,A2
Hauptsache,15,A2
Hölle,15,A2
Haß,15,A2
Braut,15,A2
Vorhang,15,A2
Wesirschaft,15,A2
Einkünfte,15,A2
Ueberzeugung,15,A2
Miene,15,A2
Blitz,15,A2
Dutzend,15,A2
Geräusch,15,A2
Vorzimmer,15,A2
Alsdann,15,A2
ja,15,A2
Kleidung,15,A2
Verfügung,15,A2
Opsal,15,A2
Lüge,15,A2
Schonung,14,A2
Verbeugung,14,A2
Bauer,14,A2
L.,14,A2
Atem,14,A2
Wohnzimmer,14,A2
Abschied,14,A2
Tropfen,14,A2
Strenge,14,A2
Andenken,14,A2
Entschuldigung,14,A2
Mörder,14,A2
in's,14,A2
Strick,14,A2
Baidu,14,A2
Wetter,14,A2
Kellner,14,A2
Verordnung,14,A2
Engländer,14,A2
Wichtigkeit,14,A2
Antheil,14,A2
Verzeihung,14,A2
Durchschnitt,14,A2
Mittelpunkt,14,A2
Ketzer,14,A2
Verwirrung,14,A2
Rebiulachir,14,A2
Schar,14,A2
Silhidsche,14,A2
Beinchen,14,A2
Ilchane,14,A2
Kurde,14,A2
Rücksicht,14,A2
Schlittschuhe,14,A2
Reschideddin,14,A2
Gefallen,14,A2
Markt,14,A2
Gret,14,A2
Erziehung,14,A2
Menschenalter,14,A2
Gesichtspunkt,14,A2
Anlass,14,A2
Weisheit,14,A2
Fähnlein,14,A2
Mord,14,A2
Königin,14,A2
Kundschaft,14,A2
Fähigkeit,14,A2
Beischläferinn,14,A2
Akt,14,A2
Seldschuken,14,A2
Heinrich,14,A2
Konghurat,14,A2
Anzahl,14,A2
Seldschuke,14,A2
Undank,14,A2
Eile,14,A2
Stärke,14,A2
Grabmal,14,A2
Umfang,14,A2
Archiv,14,A2
Himss,14,A2
Nahrungsmittel,14,A2
Chef,14,A2
Vergleich,14,A2
Trampelpeter,14,A2
böse,13,A2
Fremde,13,A2
Gesetzgebung,13,A2
Schöpfer,13,A2
Zwang,13,A2
Untergang,13,A2
Schiktur,13,A2
Schwerte,13,A2
Krongüter,13,A2
tote,13,A2
Druck,13,A2
Pause,13,A2
Existenz,13,A2
Entwickelung,13,A2
Zeitgenosse,13,A2
Grosse,13,A2
Angriff,13,A2
Forcht,13,A2
Erbse,13,A2
Eisen,13,A2
Edelmann,13,A2
Güside,13,A2
Empirie,13,A2
Stirn,13,A2
Ebubekr,13,A2
Gemüth,13,A2
Taidschut,13,A2
Staatssekretär,13,A2
Anmerkung,13,A2
Unterwürfigkeit,13,A2
Stimmung,13,A2
Stubsvee,13,A2
Verdacht,13,A2
Läger,13,A2
Studie,13,A2
verbündeter,13,A2
Höflinge,13,A2
Jungfrau,13,A2
Gewöhnung,13,A2
Küste,13,A2
Regen,13,A2
begehren,13,A2
Bewusstseinszuständ,13,A2
Kurfürst,13,A2
Bürgermeister,13,A2
Timur,13,A2
Vorsteher,13,A2
Rath,13,A2
Gesang,13,A2
Fuss,13,A2
Kammer,13,A2
Poesie,13,A2
Kanzelgebet,13,A2
Handschrift,13,B1
Verehrung,13,B1
Verlag,13,B1
Prügel,13,B1
Pfeife,13,B1
Verzweiflung,13,B1
Schwager,13,B1
Redscheb,13,B1
Organisation,13,B1
Dankbarkeit,13,B1
Vereinigung,13,B1
Literat,13,B1
Leid,13,B1
Teguder,13,B1
verlangen,13,B1
Unterredung,13,B1
reisend,13,B1
Bewerber,13,B1
Hidschret,13,B1
End,13,B1
Flasche,12,B1
kopfe,12,B1
Mehrzahl,12,B1
Achsel,12,B1
Bären,12,B1
Revolver,12,B1
Kaufmann,12,B1
Weibsbild,12,B1
Perser,12,B1
Versicherung,12,B1
Most,12,B1
Schwäche,12,B1
Uebel,12,B1
Agent,12,B1
Missbrauch,12,B1
Pfanne,12,B1
Decke,12,B1
Symptom,12,B1
Salghure,12,B1
Boot,12,B1
Station,12,B1
Streben,12,B1
Treffen,12,B1
Grad,12,B1
Silkide,12,B1
Nothwendigkeit,12,B1
Republikaner,12,B1
Fraser,12,B1
Vegetarianer,12,B1
Linie,12,B1
Diagnose,12,B1
Wiege,12,B1
Beschaffenheit,12,B1
Lamm,12,B1
Innervationsenergie,12,B1
Tabak,12,B1
Plünderung,12,B1
Hamburger,12,B1
Hôtel,12,B1
Kundschafter,12,B1
Grundlage,12,B1
verderben,12,B1
Einnahme,12,B1
Prüfung,12,B1
geliebter,12,B1
Bedürfnis,12,B1
Stolz,12,B1
Vegetarianismus,12,B1
Musikante,12,B1
Hofmeister,12,B1
Gewicht,12,B1
Hörner,12,B1
Magd,12,B1
Nachbar,12,B1
Zeitrechnung,12,B1
Verirrung,12,B1
Vorfall,12,B1
Sultane,12,B1
Sonntag,12,B1
Sieger,12,B1
Muster,12,B1
Mond,12,B1
Sennhütte,12,B1
Astrolog,12,B1
Herbst,12,B1
Werkzeug,12,B1
Sieh,12,B1
Eichenfel,12,B1
Girdkjuh,12,B1
Beschränkung,12,B1
Lebtag,12,B1
Gabe,12,B1
Gelde,12,B1
Abgrund,12,B1
Wirksamkeit,12,B1
Abzug,12,B1
Nack,12,B1
Beistand,12,B1
Verantwortung,12,B1
Karakorum,12,B1
sterben,12,B1
Gemüt,12,B1
Kenntnis,12,B1
Streich,12,B1
erwachsene,12,B1
Luxus,12,B1
recht,12,B1
Tanz,12,B1
Vorgang,12,B1
Fluch,12,B1
Schlafzimmer,12,B1
Obrister,12,B1
Toman,12,B1
Empfindung,12,B1
Brauch,12,B1
Uebergabe,12,B1
Offizier,12,B1
Lösung,12,B1
Schaar,11,B1
Ueberbürdung,11,B1
Tyrann,11,B1
Loos,11,B1
Realschul,11,B1
Derowege,11,B1
Wang,11,B1
Gleichgewicht,11,B1
Verpflichtung,11,B1
Anerkennung,11,B1
Zeug,11,B1
Anstellung,11,B1
Hirt,11,B1
Betrachtung,11,B1
Mystik,11,B1
Geschmack,11,B1
Befehlshaberschaft,11,B1
Linzer,11,B1
Nebenzimmer,11,B1
Angelegenheit,11,B1
Befriedigung,11,B1
Freigebigkeit,11,B1
Universitätsunterricht,11,B1
Weide,11,B1
Bedingung,11,B1
Einführung,11,B1
Irrsinn,11,B1
Pflege,11,B1
Beförderung,11,B1
Jacke,11,B1
Fussnot,11,B1
Bestimmung,11,B1
Kavalier,11,B1
Abschnitt,11,B1
Verrätherei,11,B1
Bescheid,11,B1
Neid,11,B1
Gebrauch,11,B1
Investitur,11,B1
Mahlzeit,11,B1
Kritik,11,B1
Lehrbuch,11,B1
Herrschern,11,B1
Kanal,11,B1
Februar,11,B1
Witz,11,B1
Sprung,11,B1
Imame,11,B1
dreien,11,B1
System,11,B1
Jaschmut,11,B1
Fahrt,11,B1
Hochschlaf,11,B1
Umgegend,11,B1
Acht,11,B1
Verletzung,11,B1
Tagreise,11,B1
Vorfahre,11,B1
Annäherung,11,B1
